event_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,tcp_flags,action,username,auth_result,dns_query,http_status,redirect_domain,bytes_sent
EVT-00001,2026-09-01T08:00:00+00:00,10.0.7.32,172.16.0.5,41763,443,TCP,ACK,allowed,admin,success,,,,7375
EVT-00002,2026-09-01T08:00:02+00:00,10.0.3.126,172.16.0.59,37712,80,HTTP,,allowed,,,,200,,2793
EVT-00003,2026-09-01T08:00:04+00:00,10.0.16.202,172.16.0.7,30661,53,DNS,,blocked,,,intranet.example,,,3672
EVT-00004,2026-09-01T08:00:06+00:00,10.0.5.146,172.16.0.15,16158,53,TCP,ACK,allowed,jsmith,,,,,7636
EVT-00005,2026-09-01T08:00:08+00:00,10.0.8.136,172.16.0.59,8180,53,TCP,ACK,allowed,jsmith,success,,,,6064
EVT-00006,2026-09-01T08:00:10+00:00,10.0.3.40,172.16.0.20,62160,443,TCP,SYN,allowed,analyst,,,,,3489
EVT-00007,2026-09-01T08:00:12+00:00,10.0.7.94,172.16.0.23,6955,53,TCP,ACK,blocked,admin,,,,,6185
EVT-00008,2026-09-01T08:00:14+00:00,10.0.20.159,172.16.0.29,39186,445,TCP,ACK,allowed,,,,,,3072
EVT-00009,2026-09-01T08:00:16+00:00,10.0.17.216,172.16.0.29,25559,445,TCP,SYN,allowed,,failure,,,,5479
EVT-00010,2026-09-01T08:00:18+00:00,10.0.5.87,172.16.0.10,26588,443,TCP,ACK,allowed,service_backup,,,,,938
EVT-00011,2026-09-01T08:00:20+00:00,10.0.13.215,172.16.0.19,35973,443,UDP,,allowed,,,,,,7412
EVT-00012,2026-09-01T08:00:22+00:00,10.0.6.55,172.16.0.9,13814,80,HTTP,,allowed,,,,200,,4929
EVT-00013,2026-09-01T08:00:24+00:00,10.0.19.216,172.16.0.8,57362,22,TCP,ACK,allowed,jsmith,,,,,830
EVT-00014,2026-09-01T08:00:26+00:00,10.0.3.122,172.16.0.40,43855,80,TCP,ACK,allowed,analyst,,,,,2493
EVT-00015,2026-09-01T08:00:28+00:00,10.0.5.75,172.16.0.54,13737,443,HTTP,,allowed,,,,200,,740
EVT-00016,2026-09-01T08:00:30+00:00,10.0.10.95,172.16.0.68,50941,53,DNS,,allowed,,,intranet.example,,,2312
EVT-00017,2026-09-01T08:00:32+00:00,10.0.12.75,172.16.0.75,21263,53,TCP,SYN,blocked,analyst,,,,,3691
EVT-00018,2026-09-01T08:00:34+00:00,10.0.18.127,172.16.0.42,2812,22,TCP,ACK,allowed,,,,,,1466
EVT-00019,2026-09-01T08:00:36+00:00,10.0.18.99,172.16.0.5,18676,445,TCP,ACK,allowed,jsmith,success,,,,313
EVT-00020,2026-09-01T08:00:38+00:00,10.0.9.162,172.16.0.53,29006,80,HTTP,,allowed,,,,200,,3344
EVT-00021,2026-09-01T08:00:40+00:00,10.0.18.172,172.16.0.10,62480,53,DNS,,allowed,,,intranet.example,,,7899
EVT-00022,2026-09-01T08:00:42+00:00,10.0.6.243,172.16.0.12,3870,53,TCP,SYN,allowed,admin,,,,,6872
EVT-00023,2026-09-01T08:00:44+00:00,10.0.20.25,172.16.0.65,55375,22,ICMP,,allowed,,,,,,4640
EVT-00024,2026-09-01T08:00:46+00:00,10.0.17.56,172.16.0.56,4285,53,DNS,,allowed,,,intranet.example,,,193
EVT-00025,2026-09-01T08:00:48+00:00,10.0.6.69,172.16.0.58,13360,80,ICMP,,allowed,,,,,,4102
EVT-00026,2026-09-01T08:00:50+00:00,10.0.7.220,172.16.0.70,44881,443,HTTP,,allowed,,,,200,,183
EVT-00027,2026-09-01T08:00:52+00:00,10.0.8.225,172.16.0.80,26359,22,TCP,ACK,allowed,analyst,,,,,2388
EVT-00028,2026-09-01T08:00:54+00:00,10.0.3.121,172.16.0.26,9471,443,UDP,,allowed,,,,,,3042
EVT-00029,2026-09-01T08:00:56+00:00,10.0.12.105,172.16.0.11,2270,80,TCP,ACK,allowed,admin,,,,,2813
EVT-00030,2026-09-01T08:00:58+00:00,10.0.19.217,172.16.0.67,2362,443,TCP,ACK,allowed,,success,,,,1426
EVT-00031,2026-09-01T08:01:00+00:00,10.0.18.41,172.16.0.14,54958,53,DNS,,allowed,,,intranet.example,,,3527
EVT-00032,2026-09-01T08:01:02+00:00,10.0.12.31,172.16.0.26,10257,53,UDP,,allowed,,,,,,7389
EVT-00033,2026-09-01T08:01:04+00:00,10.0.16.161,172.16.0.41,38522,53,DNS,,allowed,,,intranet.example,,,6529
EVT-00034,2026-09-01T08:01:06+00:00,10.0.16.192,172.16.0.32,50969,3389,TCP,SYN,allowed,analyst,success,,,,7150
